Id,CourseName,CourseNumber,DepartmentCode,CourseDescription,Credits
1, Introduction to Media Design and Production I,1120,CMAF,"An introduction to fundamental concepts, methods and strategies used to create specific meaning, emotional impact and consumer behaviour through both the analysis and creation of messages. In-class workshops and experiential learning exercises provide students with foundational skills in story development, media treatment, scriptwriting, and production budgets. Students will research various media/delivery channels and potential demographics. (Also offered as CNMA-1120)",3
2, Introduction to Media Design and Production II,1130,CMAF,"Building on skills learned in CMAF-1120, this course offers an introduction to the fundamentals of film and video production. In-class workshops and experiential learning exercises provide students with skills in production planning and audio-visual design including cinematography, lighting, sound recording, editing and digital content deliverables. Combining both studio and field based learning, students will scriptwrite, shoot and edit basic projects. (2 lecture hours and 1 laboratory hour per week) (Prerequisite: CNMA-1120/CMAF-1120). (Also offered as CNMA-1130)",3
3, Introduction to Film Studies,1400,CMAF,"Cinematic appreciation is studied through one or more of the following methods: an examination of great films, specific actors, auteurs, film genres or movements. Films may be critically studied within their cultural, historical, political and socio-economic context. (2 lecture hours and 2 screening hours per week).",3
4, New Media Studies,2010,CMAF,"This course introduces students to theories of new media, explores the historical emergence of digital media forms and examines their social, cultural, political and economic implications. Topics may include: “old” and “new” media, convergence, political economy of new media, the digital divide, social networking, participatory cultures and Web 2.0 (e.g. Facebook, Twitter, YouTube) (Prerequisite: CMAF-1010)",3
5, New Media and Social Movements,2030,CMAF,"This course charts the history and contemporary manifestations of the role of new media technologies in the formation of social movements. A variety of activists, advocacy groups and social movements have used new/social media technologies and platforms to coordinate and organize their activities, to intervene in the public sphere and to document, share and shape their own narratives. Topics may include: mainstream media frames and social movements, social control and mass-mediated social movements, social media and political organizing, user-generated content, and Web 2.0. (Prerequisite: CMAF-1010).",3
6, Fundamentals of Sound Technology,2090,CMAF,"This course introduces students to the principles of sound technology and message design appropriate for a variety of contexts. Students will apply relevant design, vocal and sound theory in conceptualizing and producing effective sound messages using contemporary technologies and software. (Prerequisites: CMAF-1010 and CNMA-1130/CMAF-1130) (2 lecture hours and 1 laboratory hour per week) (Also offered as CNMA-2090)",3
7, Speech Communication to Inform,2100,CMAF,A beginning course designed to help the student to develop poise and confidence in communicating information. ( 2 lecture hours and one 1 laboratory hour per week.) (Not available on an Audit basis.) (Prerequisite: CMAF-1010) (Also offered as DRAM-2100),3
8, Podcasting and Internet Media,2130,CMAF,"This course examines experimental processes in film, video and sound and provides a technical and critical foundation in each medium. Focus will be given to the basic events and artists central to the historical development of this genre as well as its contemporary practitioners. Based on screenings and various exercises, students will craft projects that explore the potential of these artistic forms in challenging the norms and conventions of mainstream cultural production. (Prerequisites: CMAF-1010 and CNMA-1130/CMAF-1130) (Also offered as CNMA-2150) (2 lecture hours and 1 laboratory hour per week)",3
9,CMAF-2200 Screenwriting Fundamentals,2200,CMAF,"This course introduces students to the craft of screenwriting with an emphasis on core concepts such as structure, character development, plot, theme, tone and dialogue. Through a variety of writing exercises and assignments students will develop the skills necessary to translate visual and story ideas into written format. (Prerequisites: CMAF-1010 and CNMA-1130/CMAF-1130) (Also offered as CNMA-2200) (2 lecture hours and 1 laboratory hour per week).",3
10, The Art of Photo-blogging,2210,CMAF,"In this course students will develop and design photography-based blog projects that combine effective research and writing skills with the creative use of image capture as a tool for visual communication. Students will learn photographic techniques and image editing software as well as communication strategies, applicable Canadian copyright laws, web analytics and search engine optimization. (Prerequisites: CMAF-1010 and CNMA-1130/CMAF-1130) (2 lecture hours and 1 laboratory hour per week)",3
11, Media Literacy,2250,CMAF,"A critical exploration of how the media contribute to the social construction of reality. Students will develop the skills and conceptual frameworks necessary to interpret and investigate the contemporary media environment with a particular focus on examples derived from Canadian informational/news sources and popular culture. Topics may include: media coverage of social and political issues, political economy of media/culture industries, media and democracy, media representation and stereotypes. (Prerequisite: CMAF-1010)",3
12, Film Production,2310,CMAF,"In this project-based course, students pitch project ideas that are then selected based on merit and work in teams to research, write, shoot and edit productions targeted to specific external screening venues. A variety of techniques are explored appropriate for fiction, non-fiction, experimental, etc., genres. (Prerequisites: CMAF-1010 and CNMA-1130/CMAF-1130.)(2 lecture hours and 1 laboratory hour per week) (Also offered as CNMA-2310) (Credit may not be obtained for both CNMA-2310/CMAF-2310 and CMAF-2190)",3
13, Documentary,2320,CMAF,"In this project-based course, students will work in groups to write proposals, scripts and storyboards while also familiarizing themselves with the terminology, aesthetics, mechanics and equipment associated with producing, lighting, shooting and editing for studio and location-based documentary projects. (Prerequisites: CMAF-1010 and CNMA-1130/CMAF-1130.)(1.5 lecture hours and 1.5 laboratory hours per week) (Also offered as CNMA-2320) (Credit may not be obtained for both CMAF-2180 and CNMA-2320/CMAF-2320.)",3
14, Research Methods in Communication,2340,CMAF,"An introductory overview of research approaches, methods, and designs in communication studies. Students will learn about the theoretical grounding of quantitative, qualitative, and interpretive methods, and practice various methods to explore communication issues. (Prerequisites: CMAF-1010) (2 lecture hours and 1 tutorial hour per week.)",3
